Date,Open,High,Low,Close,Adj Close,Volume
2017-09-18,11.500000,11.500000,11.400000,11.500000,11.117595,1452
2017-09-19,11.500000,11.500000,11.400000,11.500000,11.117595,7625
2017-09-20,11.500000,11.500000,11.400000,11.500000,11.117595,1581
2017-09-21,11.500000,11.500000,11.300000,11.300000,10.924245,829
2017-09-22,11.400000,11.500000,11.300000,11.400000,11.020919,1500
2017-09-25,11.200000,11.200000,11.100000,11.100000,10.730896,1740
2017-09-26,11.200000,11.300000,11.200000,11.300000,10.924245,1910
2017-09-27,11.200000,11.400000,11.100000,11.100000,10.730896,4620
2017-09-28,11.100000,11.100000,10.900000,11.000000,10.634221,3975
2017-09-29,11.000000,11.000000,10.800000,11.000000,10.634221,1122
2017-10-02,11.000000,11.000000,10.900000,10.900000,10.537546,190
2017-10-03,10.900000,11.000000,10.900000,11.000000,10.634221,1640
2017-10-04,11.100000,11.300000,11.100000,11.200000,10.827570,2153
2017-10-05,11.300000,11.300000,11.000000,11.100000,10.730896,2061
2017-10-06,11.100000,11.100000,11.100000,11.100000,10.730896,1497
2017-10-09,11.000000,11.200000,11.000000,11.200000,10.827570,1498
2017-10-10,11.200000,11.200000,11.100000,11.200000,10.827570,720
2017-10-11,11.200000,11.300000,11.200000,11.300000,10.924245,222
2017-10-12,11.300000,11.300000,11.200000,11.300000,10.924245,1777
2017-10-13,11.300000,11.500000,11.300000,11.400000,11.020919,10557
2017-10-16,11.400000,11.400000,11.200000,11.200000,10.827570,2430
2017-10-17,11.300000,11.300000,11.200000,11.300000,10.924245,3239
2017-10-18,11.200000,11.300000,11.200000,11.300000,10.924245,1548
2017-10-19,11.500000,11.500000,11.200000,11.200000,10.827570,8211
2017-10-20,11.400000,11.400000,11.200000,11.200000,10.827570,2778
2017-10-23,11.300000,11.300000,11.300000,11.300000,10.924245,1226
2017-10-24,11.400000,11.500000,11.300000,11.300000,10.924245,9611
2017-10-25,11.400000,11.400000,11.300000,11.300000,10.924245,2513
2017-10-26,11.300000,11.300000,11.100000,11.300000,10.924245,2235
2017-10-27,11.300000,11.300000,11.200000,11.300000,10.924245,5575
2017-10-30,11.300000,11.300000,11.100000,11.200000,10.827570,4240
2017-10-31,11.200000,11.200000,11.100000,11.100000,10.730896,3540
2017-11-01,11.200000,11.200000,11.100000,11.100000,10.730896,1508
2017-11-02,11.200000,11.200000,11.000000,11.000000,10.634221,6869
2017-11-03,11.100000,11.100000,11.000000,11.100000,10.730896,5208
2017-11-06,11.100000,11.200000,11.100000,11.200000,10.827570,1205
2017-11-07,11.200000,11.200000,11.100000,11.200000,10.827570,3829
2017-11-08,11.100000,11.100000,11.100000,11.100000,10.730896,1007
2017-11-09,11.100000,11.300000,11.100000,11.200000,10.827570,3904
2017-11-10,11.300000,11.300000,11.100000,11.100000,10.730896,6010
2017-11-13,11.100000,11.200000,11.100000,11.100000,10.730896,818
2017-11-14,11.100000,11.200000,11.100000,11.100000,10.730896,2235
2017-11-15,11.100000,11.200000,11.100000,11.100000,10.730896,1326
2017-11-16,11.000000,11.100000,11.000000,11.000000,10.634221,6282
2017-11-17,11.100000,11.100000,11.000000,11.100000,10.730896,7755
2017-11-20,11.100000,11.100000,11.000000,11.100000,10.730896,4864
2017-11-21,11.100000,11.100000,11.000000,11.100000,10.730896,887
2017-11-22,11.100000,11.100000,11.000000,11.100000,10.730896,362
2017-11-23,11.100000,11.200000,11.000000,11.000000,10.634221,2165
2017-11-24,11.000000,11.100000,11.000000,11.100000,10.730896,1637
2017-11-27,11.000000,11.100000,11.000000,11.000000,10.634221,3005
2017-11-28,11.200000,11.200000,11.100000,11.100000,10.730896,24
2017-11-29,11.100000,11.100000,11.000000,11.000000,10.634221,1944
2017-11-30,11.100000,11.100000,10.900000,11.000000,10.634221,4887
2017-12-01,11.000000,11.000000,10.900000,10.900000,10.537546,4768
2017-12-04,11.100000,11.100000,11.000000,11.000000,10.634221,2824
2017-12-05,10.900000,10.900000,10.700000,10.700000,10.344196,5831
2017-12-06,10.800000,10.900000,10.800000,10.900000,10.537546,3365
2017-12-07,10.900000,10.900000,10.800000,10.900000,10.537546,2223
2017-12-08,10.900000,10.900000,10.800000,10.900000,10.537546,141
2017-12-11,10.900000,10.900000,10.700000,10.800000,10.440871,5020
2017-12-12,10.800000,10.900000,10.700000,10.700000,10.344196,4124
2017-12-13,10.700000,10.900000,10.500000,10.500000,10.150846,4728
